Run,Best Fitness,Circuit Length
1,1.1428571428571428,7
2,1.05,20
3,1.1428571428571428,7
4,1.0555555555555556,18
5,1.1428571428571428,7
6,1.0666666666666667,15
7,1.0714285714285714,14
8,1.0555555555555556,18
9,1.0833333333333333,12
10,1.0666666666666667,15
11,1.0555555555555556,18
12,1.125,8
13,1.1428571428571428,7
14,1.0909090909090908,11
15,1.1428571428571428,7
16,1.0555555555555556,18
17,1.0588235294117647,17
18,1.0909090909090908,11
19,1.1428571428571428,7
20,1.0555555555555556,18
