Run,Best Fitness,Circuit Length
1,0.9375,17
2,1.1428571428571428,7
3,1.1428571428571428,7
4,1.0909090909090908,11
5,1.0625,16
6,0.875,7
7,1.1111111111111112,9
8,1.1428571428571428,7
9,1.1428571428571428,7
10,1.1428571428571428,7
11,1.1428571428571428,7
12,1.1428571428571428,7
13,0.9375,23
14,0.875,12
15,0.9375,13
16,1.1428571428571428,7
17,0.875,7
18,1.0909090909090908,11
19,1.1428571428571428,7
20,1.1428571428571428,7
