Run,Best Fitness,Circuit Length
1,1.0769230769230769,13
2,1.1428571428571428,7
3,1.1428571428571428,7
4,0.875,8
5,1.125,8
6,1.1428571428571428,7
7,1.125,8
8,1.0555555555555556,18
9,1.1,10
10,0.875,6
11,1.1428571428571428,7
12,0.875,10
13,1.1428571428571428,7
14,1.0714285714285714,14
15,1.125,8
16,1.0769230769230769,13
17,1.125,8
18,1.0625,16
19,1.0769230769230769,13
20,1.1428571428571428,7
