Run,Best Fitness,Circuit Length
1,1.0714285714285714,14
2,1.05,20
3,1.0909090909090908,11
4,1.0769230769230769,13
5,1.0625,16
6,1.0714285714285714,14
7,1.0526315789473684,19
8,1.0526315789473684,19
9,1.0666666666666667,15
10,1.0714285714285714,14
11,1.0769230769230769,13
12,1.0555555555555556,18
13,1.0714285714285714,14
14,1.0666666666666667,15
15,1.0555555555555556,18
16,1.0714285714285714,14
17,1.0714285714285714,14
18,1.0666666666666667,15
19,1.0714285714285714,14
20,1.0625,16
