# Restoring circuit (Length: 12)

1: Control=1, Target=1, Gate=Z031  
2: Control=1, Target=0, Gate=C3Z0213  
3: Control=0, Target=2, Gate=C3Z+2  
4: Control=0, Target=1, Gate=C3Z0213  
5: Control=0, Target=0, Gate=Z0231  
6: Control=0, Target=1, Gate=C3Z0312  
7: Control=1, Target=2, Gate=C3Z+2  
8: Control=0, Target=1, Gate=C3Z0213  
9: Control=0, Target=0, Gate=Z0132  
10: Control=0, Target=1, Gate=C3Z0312  
11: Control=1, Target=0, Gate=C3Z0312  
12: Control=1, Target=1, Gate=Z013
